;esco code;esco name;kzis code;kzis name
49;8131.2;operator urządzeń mieszających do produkcji wyrobów chemicznych;813133;Operator urządzeń mieszających
50;8141.1.5;operator urządzeń do produkcji wyrobów maczanych;814101;Aparatowy produkcji wyrobów maczanych
51;8141.1.8;wulkanizator opon;814104;Wulkanizator
52;8142.7;operator wtryskarki;814208;Operator wtryskarki
53;8171.7;operator maszyn do produkcji papierowych artykułów piśmiennych;814303;Operator maszyn do produkcji papierowych artykułów piśmiennych
54;8171.6;operator pras do formowania wyrobów z masy papierniczej;814308;Operator pras do formowania wyrobów z masy papierniczej
55;8151.2;operator maszyn przędzalniczych;815102;Operator maszyn przędzalniczych
56;8152.1;operator maszyn dziewiarskich;815201;Operator maszyn dziewiarskich
57;8152.3;operator maszyn tkackich;815203;Operator maszyn tkackich
58;8152.2;operator maszyn włókienniczych;815204;Operator maszyn w przemyśle włókienniczym
59;8154.4;operator maszyn wykończalniczych wyrobów włókienniczych;815401;Operator maszyn wykończalniczych wyrobów włókienniczych
60;8156.2.3;operator obuwniczych urządzeń szwalniczych;815601;Operator obuwniczych urządzeń szwalniczych
61;8160.46;operator urządzeń do wytwarzania makaronów;816009;Operator urządzeń do produkcji makaronu
62;8160.1;operator procesów produkcji pasz;816011;Operator urządzeń do produkcji pasz
63;8171.5;operator maszyny papierniczej;817104;Operator maszyny papierniczej
64;8172.5;tartacznik;817211;Tartacznik
65;8181.8;operator automatów do formowania wyrobów szklanych;818101;Operator automatów do formowania wyrobów szklanych
66;8181.7;operator odprężarek wyrobów szklanych;818103;Operator odprężarek wyrobów szklanych
67;8181.11;operator urządzeń do formowania wyrobów ceramicznych;818106;Operator urządzeń do formowania wyrobów ceramicznych
68;8181.9;maszynowy szlifierz-polerowacz szkła;818121;Maszynowy szlifierz-polerowacz szkła
69;8182.1;maszynista kotła;818201;Maszynista kotła
70;8182.2;palacz kotłów parowych;818206;Palacz kotłów parowych
71;7311.2;monter aparatów i przyrządów optycznych;821101;Monter aparatów i przyrządów optycznych
72;8211.7;monter maszyn i urządzeń okrętowych;821104;Monter maszyn i urządzeń okrętowych
73;8211.2;monter maszyn i urządzeń przemysłowych;821105;Monter maszyn i urządzeń przemysłowych
74;7311.4;monter urządzeń precyzyjnych;821106;Monter mechanizmów i przyrządów precyzyjnych
75;8211.6;monter taboru szynowego;821112;Monter taboru szynowego
76;8212.2.1;monter aparatury rozdzielczej i kontrolnej energii elektrycznej;821201;Monter aparatury rozdzielczej i kontrolnej energii elektrycznej
77;8212.2.3;monter wiązek elektrycznych;821207;Monter wiązek elektrycznych
78;8219.10;konfekcjoner wyrobów gumowych;821901;Konfekcjoner wyrobów gumowych
79;8219.4;monter mebli;821902;Monter mebli
80;8219.11;monter wyrobów z drewna;821905;Monter wyrobów z drewna
81;8219.9;monter wyrobów z tworzyw sztucznych;821906;Monter wyrobów z tworzyw sztucznych
82;8311.1;maszynista;831104;Maszynista
83;8312.1;dróżnik przejazdowy;831201;Dróżnik przejazdowy
84;8312.4;dyżurny ruchu;831204;Dyżurny ruchu
85;8312.2;zwrotniczy;831211;Zwrotniczy
86;8312.3;manewrowy;831205;Manewrowy
87;8322.7;taksówkarz;832205;Taksówkarz
88;8322.2;kierowca samochodu dostawczego;832202;Kierowca samochodu dostawczego
89;8331.1;kierowca autobusu;833101;Kierowca autobusu
90;8331.1.1;kierowca trolejbusu;833102;Kierowca trolejbusu
91;8331.2;kierujący tramwajem;833103;Kierujący tramwajem (motorniczy)
92;8332.2;kierowca samochodu ciężarowego;833203;Kierowca samochodu ciężarowego
93;8341.1;operator maszyn leśnych;834105;Operator maszyn leśnych
94;8341.2;operator maszyn rolniczych;834107;Operator maszyn rolniczych
95;8342.1;operator spycharki;834208;Operator spycharki
96;8343.3;operator dźwigu jezdnego;834316;Operator żurawia jezdniowego
97;8343.5;operator żurawia wieżowego;834317;Operator żurawia wieżowego
98;8343.1;maszynista kolei linowych, wyciągów narciarskich i zjeżdżalni grawitacyjnych;834303;Maszynista kolei linowych, wyciągów narciarskich i zjeżdżalni grawitacyjnych
99;8344.1;operator wózka widłowego;834401;Kierowca operator wózków jezdniowych (widłowych)
100;8350.7;marynarz statku morskiego;835003;Marynarz statku morskiego
101;8350.5;marynarz żeglugi śródlądowej;835004;Marynarz żeglugi śródlądowej
102;9622.1;konserwator;711101;Konserwator budynków i stanu technicznego pomieszczeń
103;7112.1;murarz;711202;Murarz
104;7113.1;kamieniarz;711301;Kamieniarz
105;7114.1;betoniarz;711401;Betoniarz
106;7214.2;szkutnik;711504;Szkutnik
107;7115.1;cieśla;711501;Cieśla
108;7119.2;pracownik rozbiórkowy;711904;Robotnik rozbiórki budowli
109;3432.4;budowniczy dekoracji;711901;Montażysta dekoracji
110;7119.1;monter rusztowań;711903;Monter rusztowań
111;7121.1;dekarz;712101;Dekarz
112;7122.4;glazurnik;712202;Glazurnik
113;7123.2;tynkarz;712303;Tynkarz
114;7124.1;monter izolacji budowlanych;712401;Monter izolacji budowlanych
115;7125.1;szklarz;712502;Szklarz
116;7115.5;monter okien;712501;Monter/składacz okien
117;7126.8;hydraulik;712601;Hydraulik
118;7126.3;monter instalacji gazowych;712603;Monter instalacji gazowych
119;7126.1;monter instalacji i urządzeń sanitarnych;712604;Monter instalacji i urządzeń sanitarnych
120;7126.2;monter sieci wodnych i kanalizacyjnych;712612;Monter sieci wodnych i kanalizacyjnych
121;7131.2;tapeciarz;713105;Tapeciarz
122;7132.1;lakiernik;713201;Lakiernik
123;7132.3;lakiernik pojazdowy;713203;Lakiernik samochodowy
124;7133.3;kominiarz;713303;Kominiarz
125;7222.1;modelarz odlewniczy;721104;Modelarz odlewniczy
126;7212.3;spawacz;721204;Spawacz
127;7212.2;lutowacz;721201;Lutowacz
128;7213.4;blacharz budowlany;721302;Blacharz budowlany
129;8219.8;monter konstrukcji stalowych;721404;Monter konstrukcji stalowych
130;7221.1;kowal;722101;Kowal
131;7221.1.1;kowal podkuwacz koni;722104;Podkuwacz koni
132;7222.3;ślusarz;722204;Ślusarz
133;7222.5;ślusarz narzędziowy;722206;Ślusarz narzędziowy
134;7222.2;rusznikarz;722203;Rusznikarz
135;7223.12;operator strugarki;722311;Strugacz
136;7223.4.6;frezer;722301;Frezer
137;7223.4.4;operator maszyn do obróbki skrawaniem;722303;Operator maszyn do obróbki skrawaniem
138;7224.1;szlifierz-polerowacz;722401;Docieracz-polerowacz
139;7224.2;szlifierz-ostrzarz;722402;Szlifierz-ostrzarz
140;7231.10;mechanik pojazdów samochodowych;723103;Mechanik pojazdów samochodowych
141;8350.3;marynarz motorzysta żeglugi śródlądowej;723317;Marynarz motorzysta żeglugi śródlądowej
142;7233.2;mechanik konserwator urządzeń dźwignicowych;723302;Mechanik / konserwator urządzeń dźwignicowych
143;7233.7;mechanik urządzeń przemysłowych;723307;Mechanik maszyn i urządzeń przemysłowych
